Uniprot_ID,Day1-1,Day1-2,Day2-1,Day2-2,Day3-1,Day3-2
H7C6C1,16452.17773,21996.96484,25602.72461,20469.57031,20085.94727,11887.49902
H7C6C3,4311.159668,4125.41748,4428.425293,4149.924316,4341.742188,4250.932617
H7C6C4,5345.436523,5261.209961,5146.776367,5131.669922,5204.390625,5141.970703
H7C6C7,3452.736572,3630.545898,3335.685059,3484.115723,3476.946045,3805.155029
H7C6D0,4584.493164,4283.358398,4061.597656,4251.685547,4102.540527,4574.453125
H7C6D1,1169.167725,1210.786011,1227.009277,1102.722778,1313.080688,1175.814087
H7C7J6,6952.777344,7234.350098,7117.938477,7081.599609,6969.025879,7484.885254
H7C7J7,4339.996094,4123.812012,4271.914063,4328.72998,4492.263672,3892.589844
H7C7J8,283.4629211,259.9117432,259.5690002,314.9268188,279.2272644,297.1334839
H7C7K2,9843.329102,10126.43457,9927.358398,9789.654297,9913.145508,10031.05469
H7C7K3,2269.094238,2611.667969,2007.676758,2417.124268,2251.003906,2026.553833
O24748,1155.435791,1250.154785,1111.232788,1208.620239,1226.817627,1169.164429
O31139,1670.724731,1741.952759,1760.608398,1688.32312,1777.246948,1623.073853
O52377,1000.066467,940.4074097,910.5806274,998.0556641,950.2945557,886.0177612
O68602,3579.242676,3742.77832,3818.841309,3881.178711,3717.207275,2845.931152
O68640,825.0656128,918.9581299,918.3496094,872.0635376,947.8208008,873.4555664
O69043,1712.050415,2042.565186,2117.668701,2095.839111,2199.158936,1775.664429
O69282,20369.98438,20137.54102,20534.79297,20960.03906,20869.2207,20387.64258
O85175,1147.033081,1109.847534,1093.952637,1077.598755,1121.499268,1108.060303
O85176,15006.96387,15159.00879,14907.35547,15186.50098,15564.7998,15070.57422
O87330,1075.038452,1075.12085,1129.601563,998.5306396,1147.772217,1003.321594
O87331,2821.311523,2841.780273,2836.962646,2706.975342,2747.046875,2888.191895
O88101,3575.589111,3588.296631,3700.086182,3574.145996,3723.27417,3869.730225
P04964,9545.325195,9011.449219,8999.488281,9199.989258,8907.957031,9175.192383
P06557,4479.938477,4571.631836,4656.050293,4477.596191,4665.506348,4630.914551
P06558,2232.457275,2428.39624,2476.239746,2548.287598,2284.386963,1744.775757
P06559,6067.864746,6068.975098,6280.395996,6377.717285,6204.035156,6081.330566
P06560,11048.77539,11304.47559,11286.82129,11285.48145,11471.70605,11294.02148
P06561,4180.21582,4326.929688,4413.324707,4236.486328,4298.33252,4195.022461
P06562,7706.170898,7918.870117,7789.520508,7929.575684,7756.824707,6320.15625
P07128,2476.185059,2342.410156,2273.971191,2398.1875,2266.776611,2297.963623
P08499,27565.97266,28429.20898,27507.25977,27230.23633,26659.4707,26747.57813
P09890,1666.656372,1596.984253,1590.445313,1542.664307,1714.755371,1462.313354
P0C1D8,11038.68262,10591.58008,11043.52637,10795.08496,10651.11914,9834.789063
P0C1E0,13684.36914,13685.92383,14348.5,13894.37012,13848.77539,13427.23926
P0C1E2,2039.999146,2047.958374,2042.893188,2076.335205,2052.437256,1974.799927
P0C1E4,3931.088623,4240.647949,4640.326172,4392.952637,4422.07666,4116.644043
P0C1E6,1068.355469,1005.882935,1099.517944,1132.319214,1123.798584,1117.045288
P0C1E8,2700.003174,2512.669189,2649.084961,2812.949951,2824.858154,2833.905518
P0C543,893.4146729,781.9039917,870.0012207,857.8911133,833.0558472,850.1213989
P0C544,8954.452148,8570.894531,8665.231445,8672.114258,8522.914063,8713.532227
P0DJB1,228.9751129,185.0203247,175.2322998,244.0593262,159.2232056,173.5001068
P10341,2155.2229,2035.971558,2104.003418,2123.02124,2036.162476,2077.214844
P12880,14539.39648,14890.84766,15071.34863,14611.20215,15058.05078,15007.86621
P19537,26947.20898,28527.52148,28422.58203,27965.1543,29496.16992,24613.63672
P19583,20144.92969,19723.07031,19954.61133,19540.6582,20575.77148,18080.83789
P19808,4549.223145,4539.546387,4717.57959,4501.317871,4737.508301,4167.72168
P23669,9936.256836,10112.20703,10382.41016,10270.2168,9905.110352,9275.061523
P26512,10493.58105,10975.85254,11266.37988,11024.14063,11322.30078,8939.060547
P31026,14193.05273,14723.77734,15531.59375,14838.66309,15204.97461,14559.21777
P35170,3314.95874,3387.563477,3457.698975,3024.585693,3370.282715,3560.54834
P35868,6059.29541,6036.495605,6080.599609,6089.998047,6050.107422,5911.652344
P38118,376.0198059,386.7852173,365.5570679,365.1065063,376.803833,388.789032
P38376,1795.672119,2249.368652,2179.069092,2030.703857,1642.798706,1904.231812
P40110,2194.100342,2044.737793,1994.318115,2057.154053,2053.756592,2000.929321
P40111,1170.372559,1148.194336,1150.432983,1205.290649,1134.526855,1341.397827
P42439,22051.18359,21158.06055,21288.21484,20705.89063,21446.75,20534.04297
P42442,1166.334595,1268.878418,1263.62146,1233.36499,1217.000366,1193.068848
P42449,2175.302002,2237.616699,2263.409668,2209.195801,2240.466309,2207.851807
P42450,1098.026245,1133.169922,1118.474609,1170.948853,1158.998413,1148.949585
P42455,77770.35938,78504.25,79331.15625,76694.96875,78836.44531,75364.10938
P42457,27858.08398,28676.70508,29492.80078,29073.44336,29828.51758,29698.52539
P42458,2508.843994,2831.752686,2608.827637,2927.787109,2239.018311,1829.112427
P42461,4617.322266,5183.021484,4907.850098,4808.645508,4231.646484,2819.575928
P42463,9494.364258,9397.120117,9539.138672,9223.717773,9363.134766,9467.155273
P42464,22463.94336,22021.44727,22406.93555,21976.45117,22070.5332,20476.60938
P42531,251.2371368,268.1605835,244.1668091,234.6776886,233.9040375,261.0285645
P46396,92.99604034,75.0957489,74.89414978,98.39431,83.22005463,95.47537231
P48242,8110.82959,8398.661133,8776.287109,8257.693359,8542.921875,8232.100586
P48243,2198.031494,2056.221436,2046.425049,2226.394043,2041.562134,2077.455078
P48244,1826.851196,1943.693604,1858.881592,1887.984131,1759.332642,1888.026001
P48245,1371.476318,1293.71814,1446.841064,1387.940063,1224.290405,1606.334595
P49973,6899.562012,7237.472656,7412.243652,6674.016113,7178.115234,5602.632813
P50216,29938.24805,29263.21094,29949.74414,29666.44141,30466.04297,26874.97266
P53532,3669.335449,3523.321533,3659.327393,3412.287598,3625.459229,3576.140625
P54122,4846.937988,4953.606934,5029.66748,4994.953613,4921.166504,5090.340332
P58893,3800.056396,3783.86792,4021.369873,3970.777832,3917.766602,3609.132813
P58897,3026.254395,3078.699463,2956.429932,3069.479492,3026.459717,2522.045654
P58939,9276.765625,9294.727539,9593.220703,8988.102539,9566.336914,8581.77832
P58946,7913.710449,7706.664063,8068.931641,7732.285645,8021.492188,7579.641113
P58998,3532.570313,3581.208496,3686.2854,3695.992188,3637.631348,3137.820801
P59004,6303.920898,6200.100098,6271.619141,6139.160645,6007.786133,5817.413574
P59011,3026.821289,2983.785889,2965.791992,3006.17749,3103.2771,3091.24292
P61173,37619.51172,44513,46220.11719,44887.39453,44307.38281,36662.46484
P66326,51430.30078,50713.62109,51504.93359,50683.78906,51187.81641,50651.51172
P66455,25171.40234,24610.05273,25248.7832,26042.47852,22177.70898,22734.83984
P66482,10170.67871,10085.19238,9641.863281,9836.887695,9877.490234,9395.861328
P71121,6619.496094,6551.80127,6742.358887,6658.17334,6544.713867,6443.284668
P77844,4102.328125,3904.986572,3949.799561,4032.824463,4148.750977,3916.010254
P77845,4976.715332,4922.357422,5017.955566,4928.046875,5179.606934,4881.646484
P82134,6011.610352,6070.077148,6073.344238,6146.295898,6296.89209,6201.353516
P94335,2273.867676,2298.143799,2197.527832,2235.164795,2131.155029,2184.899414
