Uniprot_ID,log2 Fold Change,P.Value
H7C6C1,-0.520210623,0.555359266
H7C6C3,0.079800691,0.701427287
H7C6C4,1.043356446,0.025370698
H7C6C7,0.587391013,0.527364144
H7C6D0,-0.073510381,0.87908462
H7C6D1,1.095316923,0.234342826
H7C7J6,-0.064851732,0.674609645
H7C7J7,0.281090459,0.310852623
H7C7J8,0.292192927,0.907652562
H7C7K2,1.020473606,0.040464692
H7C7K3,0.300176234,0.753080158
O24748,0.799808052,0.091514977
O31139,0.195831065,0.472509041
O52377,0.070276372,0.925102991
O68602,0.231610247,0.463332623
O68640,1.57800612,0.025370698
O69043,0.657593808,0.141970505
O69282,1.101146107,0.123121241
O85175,0.347179916,0.608396779
O85176,0.065567207,0.819584357
O87330,0.417606542,0.600775131
O87331,0.107423362,0.342328131
O88101,0.108700389,0.722883197
P04964,-0.621056259,0.138785284
P06557,1.11740964,0.026563485
P06558,1.785379574,0.064405651
P06559,1.032395656,0.070889803
P06560,0.775046572,0.127827405
P06561,0.339804328,0.502456564
P06562,1.138933841,0.033811596
P07128,0.993104264,0.039616034
P08499,0.364303801,0.481760108
P09890,0.95327704,0.152706946
P0C1D8,0.40730495,0.238135251
P0C1E0,0.200678583,0.633973451
P0C1E2,0.422038427,0.279057592
P0C1E4,0.045238137,0.863783952
P0C1E6,0.196509437,0.600775131
P0C1E8,-0.224363718,0.325378153
P0C543,-0.462163204,0.339281355
P0C544,0.356022118,0.238135251
P0DJB1,2.080656796,0.780111082
P10341,-0.237678339,0.307176977
P12880,-0.45391427,0.258773919
P19537,-0.374335636,0.194043225
P19583,0.054647674,0.80796967
P19808,0.456918263,0.636653556
P23669,0.308224123,0.270850452
P26512,0.475370077,0.17814274
P31026,0.234871588,0.631236537
P35170,0.341749326,0.223933164
P35868,0.867307345,0.073799131
P38118,0.690540106,0.342328131
P38376,0.595916549,0.291828007
P40110,-0.243051584,0.59742628
P40111,-0.186631278,0.732910923
P42439,0.120632073,0.758924925
P42442,-0.768130681,0.085378213
P42449,3.831748209,0.04395298
P42450,2.761110734,0.025370698
P42455,-0.407509295,0.040464692
P42457,0.438637992,0.093999778
P42458,-0.611468316,0.716069612
P42461,0.537847258,0.481121787
P42463,0.992340228,0.070291844
P42464,-0.960478605,0.060491572
P42531,1.719567538,0.23212589
P48242,0.38244422,0.370275828
P48243,0.199417314,0.625936653
P48244,0.444572999,0.141970505
P48245,0.426539669,0.261328305
P49973,0.038280309,0.958870882
P50216,-0.253599345,0.258773919
P53532,0.08830948,0.673787379
P54122,0.503722277,0.218989698
P58893,-0.205959701,0.547730872
P58897,-0.031308217,0.925102991
P58939,-0.68650224,0.133127155
P58946,0.054507874,0.817489133
P58998,0.814674303,0.123121241
P59004,0.225650287,0.301995614
P59011,1.230009309,0.040464692
P61173,-0.455103709,0.708876686
P66326,0.038822286,0.956682012
P66455,0.215414704,0.833918989
P66482,-0.026798641,0.956682012
P71121,0.096140646,0.781271842
P77844,2.394217675,0.025377262
P77845,1.929016562,0.056088012
